اطلاعات ورود به سیستم,,,,عملیات,,,سند,,,,
شناسه,شعبه,سال مالی,کاربر,تاریخ,زمان,نوع,سیستم,نوع,شماره,تاریخ,توضیحات
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:53:08, ويرايش موجوديت,انبار,سند انبار,6200,1405/04/08,سند درخواست كالا از انبار با شماره 6200 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جعفري3,1405/04/08,09:52:58,موجوديت جديد,خزانه داري,سند حسابداري,8347,1404/07/03,سند عمومي با شماره 8347 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:52:51, ويرايش موجوديت,حسابداري,سند حسابداري,30786,1404/11/30,سند عمومي با شماره ثابت 30786 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/08,09:52:49,موجوديت جديد,انبار,سند انبار,8258,1405/03/05,سند رسيد خريد  با شماره 8258 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:52:42,موجوديت جديد,انبار,سند انبار,4850,1405/04/08,سند تاييد درخواست كالا با شماره 4850 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:52:33, ويرايش موجوديت,انبار,سند انبار,6201,1405/04/08,سند درخواست كالا از انبار با شماره 6201 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,احمدي1,1405/04/08,09:52:31, ويرايش موجوديت,انبار,سند انبار,8257,1405/04/08,سند رسيد خريد  با شماره 8257 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,جابرسرگزي1,1405/04/08,09:52:17,موجوديت جديد,انبار,سند انبار,1545,1405/03/09,سند رسيد انتقال بين انبار با شماره 1545 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:52:15, ويرايش موجوديت,حسابداري,سند حسابداري,30781,1404/10/30,سند عمومي با شماره ثابت 30781 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جعفري3,1405/04/08,09:52:12,موجوديت جديد,خزانه داري,سند خزانه داري,2703,1404/07/03,سند صورت هزينه تنخواه با شماره 2703 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:52:12,موجوديت جديد,انبار,سند انبار,904,1405/04/08,سند حواله  اماني ما نزد ديگران با شماره 904 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,احمدي1,1405/04/08,09:52:10,موجوديت جديد,انبار,سند انبار,8257,1405/04/08,سند رسيد خريد  با شماره 8257 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پرويز_هرمزي1,1405/04/08,09:51:41,موجوديت جديد,انبار,سند انبار,8256,1405/01/23,سند رسيد خريد  با شماره 8256 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:51:34,موجوديت جديد,خزانه داري,سند حسابداري,8346,1404/07/10,سند عمومي با شماره 8346 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:51:20, ويرايش موجوديت,حسابداري,سند حسابداري,30780,1404/09/30,سند عمومي با شماره ثابت 30780 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,آقاحاجي1,1405/04/08,09:51:17, ويرايش موجوديت,حسابداري,سند حسابداري,2761,1405/03/31,سند عمومي با شماره ثابت 2761 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:51:15, ويرايش موجوديت,انبار,سند انبار,2691,1405/04/08,سند حواله مصرف  با شماره 2691 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:51:04,موجوديت جديد,خزانه داري,سند خزانه داري,2702,1404/07/10,سند صورت هزينه تنخواه با شماره 2702 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,جلالي1,1405/04/08,09:50:39, ويرايش موجوديت,حسابداري,سند حسابداري,30044,1404/11/17,سند عمومي با شماره ثابت 30044 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:50:37,موجوديت جديد,انبار,سند انبار,2691,1405/04/08,سند حواله مصرف  با شماره 2691 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كاظميان1,1405/04/08,09:50:28,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:50:26, ويرايش موجوديت,حسابداري,سند حسابداري,30778,1404/08/30,سند عمومي با شماره ثابت 30778 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:49:47, ويرايش موجوديت,حسابداري,سند حسابداري,30776,1404/07/30,سند عمومي با شماره ثابت 30776 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/08,09:49:39, ويرايش موجوديت,انبار,سند انبار,5852,1405/03/31,سند درخواست كالا از انبار با شماره 5852 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:49:27,موجوديت جديد,حسابداري,سند حسابداري,1072,1404/03/15,سند عمومي با شماره ثابت 1072 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,درويش_نيا_تربت,1405/04/08,09:49:02,ورود موفق,,نشست,,,
,,,درويش_نيا_تربت,1405/04/08,09:48:59,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:48:44, ويرايش موجوديت,انبار,سند انبار,8244,1405/03/31,سند رسيد خريد  با شماره 8244 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:48:43, ويرايش موجوديت,حسابداري,سند حسابداري,30783,1404/07/30,سند عمومي با شماره ثابت 30783 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,فاطمي1,1405/04/08,09:48:24, ويرايش موجوديت,خزانه داري,سند حسابداري,2735,1405/04/06,سند عمومي با شماره 2735 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,يوسفي4خواف,1405/04/08,09:48:19,موجوديت جديد,انبار,سند انبار,1544,1405/04/08,سند رسيد انتقال بين انبار با شماره 1544 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,جلالي1,1405/04/08,09:48:09,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:48:08,موجوديت جديد,انبار,سند انبار,903,1405/04/08,سند حواله  اماني ما نزد ديگران با شماره 903 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:48:06,موجوديت جديد,حسابداري,سند حسابداري,1071,1404/03/10,سند عمومي با شماره ثابت 1071 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/08,09:47:46, ويرايش موجوديت,انبار,سند انبار,6199,1405/04/08,سند درخواست كالا از انبار با شماره 6199 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/08,09:47:27,موجوديت جديد,حسابداري,سند حسابداري,2766,1405/02/26,سند عمومي با شماره ثابت 2766 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:47:23, ويرايش موجوديت,انبار,سند انبار,6194,1405/04/08,سند درخواست كالا از انبار با شماره 6194 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/08,09:47:21,موجوديت جديد,حسابداري,سند حسابداري,2765,1405/02/29,سند عمومي با شماره ثابت 2765 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:46:55, ويرايش موجوديت,انبار,سند انبار,6194,1405/04/08,سند درخواست كالا از انبار با شماره 6194 ثبت شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:46:34, ويرايش موجوديت,حسابداري,سند حسابداري,4355,1404/11/30,سند عمومي با شماره 4355 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:46:20,موجوديت جديد,انبار,سند انبار,2690,1405/04/08,سند حواله مصرف  با شماره 2690 ثبت شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:46:18, ويرايش موجوديت,حسابداري,سند حسابداري,4356,1404/11/30,سند عمومي با شماره ثابت 4356 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,احمدي1,1405/04/08,09:46:17,موجوديت جديد,انبار,سند انبار,6202,1405/04/08,سند درخواست كالا از انبار با شماره 6202 ثبت شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:46:02, ويرايش موجوديت,حسابداري,سند حسابداري,4356,1404/11/30,سند عمومي با شماره ثابت 4356 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:45:57, ويرايش موجوديت,انبار,سند انبار,6199,1405/04/08,سند درخواست كالا از انبار با شماره 6199 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/08,09:45:51,موجوديت جديد,انبار,سند انبار,1738,1405/03/18,سند حواله انتقال بين انبار با شماره 1738 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/08,09:45:46,موجوديت جديد,حسابداري,سند حسابداري,2764,1405/04/08,سند عمومي با شماره ثابت 2764 ذخيره شد
,تفتان ره ساز پارس,1405,عسكريان15تنخواه,1405/04/08,09:45:41,ورود موفق,,نشست,,,
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:45:21,موجوديت جديد,حسابداري,سند حسابداري,1070,1404/02/30,سند عمومي با شماره ثابت 1070 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:45:01,موجوديت جديد,انبار,سند انبار,2689,1405/04/08,سند حواله مصرف  با شماره 2689 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,اژدري,1405/04/08,09:44:46,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,زرعيكار1,1405/04/08,09:44:25, ويرايش موجوديت,حسابداري,سند حسابداري,9256,1404/06/31,سند عمومي با شماره 9256 تاييد شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:44:13, ويرايش موجوديت,حسابداري,سند حسابداري,4354,1404/11/30,سند عمومي با شماره 4354 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:44:11, ويرايش موجوديت,انبار,سند انبار,4135,1405/04/08,سند حواله مصرف ماشين آلات با شماره 4135 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پرويز_هرمزي1,1405/04/08,09:43:59,موجوديت جديد,انبار,سند انبار,8255,1405/01/23,سند رسيد خريد  با شماره 8255 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:43:57, ويرايش موجوديت,انبار,سند انبار,4135,1405/04/08,سند حواله مصرف ماشين آلات با شماره 4135 ثبت شد
,مينو ساز گلستان,1404,برهان,1405/04/08,09:43:48, حذف موجوديت,حسابداري,سند حسابداري,184,1405/04/06,سند عمومي با شماره 184 حذف شد
,شركت كيهان راه شرق (سهامي خاص),1405,نباتي,1405/04/08,09:43:30,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:43:14, ويرايش موجوديت,خزانه داري,سند حسابداري,8059,1404/10/13,سند عمومي با شماره 8059 تاييد شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:43:12,موجوديت جديد,حسابداري,سند حسابداري,1069,1404/02/20,سند عمومي با شماره ثابت 1069 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:43:07, ويرايش موجوديت,خزانه داري,سند حسابداري,8061,1404/10/13,سند عمومي با شماره 8061 تاييد شد
,مينو ساز گلستان,1404,برهان,1405/04/08,09:42:59,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:42:45,موجوديت جديد,حسابداري,سند حسابداري,30786,1404/11/30,سند عمومي با شماره ثابت 30786 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:42:21, ويرايش موجوديت,خزانه داري,سند حسابداري,8063,1404/10/12,سند عمومي با شماره 8063 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:42:01, ويرايش موجوديت,خزانه داري,سند حسابداري,8064,1404/10/11,سند عمومي با شماره 8064 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,جلالي2,1405/04/08,09:41:56,موجوديت جديد,حسابداري,سند حسابداري,8987,1404/10/20,سند عمومي با شماره ثابت 8987 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/08,09:41:55, ويرايش موجوديت,انبار,سند انبار,7427,1405/03/05,سند رسيد خريد  با شماره 7427 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,اجنوردي1,1405/04/08,09:41:51, ويرايش موجوديت,انبار,سند انبار,6201,1405/04/08,سند درخواست كالا از انبار با شماره 6201 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:41:49,موجوديت جديد,انبار,سند انبار,4135,1405/04/08,سند حواله مصرف ماشين آلات با شماره 4135 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عبد1,1405/04/08,09:41:48,موجوديت جديد,خزانه داري,سند خزانه داري,485,1405/03/06,سند صورت هزينه تنخواه با شماره 485 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عبدپور_طرق,1405/04/08,09:41:44,موجوديت جديد,انبار,سند انبار,4134,1405/04/06,سند حواله مصرف ماشين آلات با شماره 4134 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/08,09:41:42, ويرايش موجوديت,انبار,سند انبار,7427,1405/03/05,سند رسيد خريد  با شماره 7427 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/08,09:41:40, ويرايش موجوديت,انبار,سند انبار,8254,1405/03/18,سند رسيد خريد  با شماره 8254 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:41:36, ويرايش موجوديت,خزانه داري,سند حسابداري,8065,1404/10/11,سند عمومي با شماره 8065 تاييد شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:41:36, ويرايش موجوديت,حسابداري,سند حسابداري,4355,1404/11/30,سند عمومي با شماره ثابت 4355 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:41:29, ويرايش موجوديت,انبار,سند انبار,6194,1405/04/08,سند درخواست كالا از انبار با شماره 6194 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,آقاحاجي1,1405/04/08,09:41:19, ويرايش موجوديت,حسابداري,سند حسابداري,2761,1405/03/31,سند عمومي با شماره ثابت 2761 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:41:16, ويرايش موجوديت,خزانه داري,سند حسابداري,8067,1404/10/11,سند عمومي با شماره 8067 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/08,09:40:56, ويرايش موجوديت,حسابداري,سند حسابداري,2762,1405/02/19,سند عمومي با شماره ثابت 2762 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/08,09:40:54,موجوديت جديد,حسابداري,سند حسابداري,2763,1405/02/19,سند عمومي با شماره ثابت 2763 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:40:49, ويرايش موجوديت,انبار,سند انبار,6194,1405/04/08,سند درخواست كالا از انبار با شماره 6194 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:40:43, ويرايش موجوديت,خزانه داري,سند حسابداري,8068,1404/10/11,سند عمومي با شماره 8068 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:40:41, ويرايش موجوديت,حسابداري,سند حسابداري,8069,1404/10/11,سند عمومي با شماره ثابت 8069 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:40:24,موجوديت جديد,خزانه داري,سند حسابداري,8345,1404/07/10,سند عمومي با شماره 8345 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:40:17, ويرايش موجوديت,خزانه داري,سند حسابداري,8069,1404/10/10,سند عمومي با شماره 8069 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/08,09:40:11, ويرايش موجوديت,حسابداري,سند حسابداري,2762,1405/02/19,سند عمومي با شماره ثابت 2762 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:40:00, ويرايش موجوديت,خزانه داري,سند حسابداري,8070,1404/10/10,سند عمومي با شماره 8070 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:39:57, ويرايش موجوديت,حسابداري,سند حسابداري,8071,1404/10/10,سند عمومي با شماره ثابت 8071 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/08,09:39:50,موجوديت جديد,انبار,سند انبار,8254,1405/03/18,سند رسيد خريد  با شماره 8254 ثبت شد
,شركت بنا بام بيستون (سهامي خاص),1405,سيدمرتضي_حسيني4,1405/04/08,09:39:42, ويرايش موجوديت,حسابداري,سند حسابداري,487,1405/01/31,سند عمومي با شماره ثابت 487 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:39:42,موجوديت جديد,خزانه داري,سند خزانه داري,2701,1404/07/10,سند صورت هزينه تنخواه با شماره 2701 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/08,09:39:40,موجوديت جديد,انبار,سند انبار,8253,1405/03/13,سند رسيد خريد  با شماره 8253 ثبت شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:39:38, ويرايش موجوديت,حسابداري,سند حسابداري,4353,1404/11/30,سند عمومي با شماره 4353 تاييد شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:39:34, ويرايش موجوديت,حسابداري,سند حسابداري,4354,1404/11/30,سند عمومي با شماره ثابت 4354 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:39:26, ويرايش موجوديت,خزانه داري,سند حسابداري,8072,1404/10/10,سند عمومي با شماره 8072 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:39:08,موجوديت جديد,انبار,سند انبار,902,1405/04/08,سند حواله  اماني ما نزد ديگران با شماره 902 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:39:03, ويرايش موجوديت,خزانه داري,سند حسابداري,8073,1404/10/10,سند عمومي با شماره 8073 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,سيدمرتضي_حسيني1,1405/04/08,09:39:01,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,مجتبي سابقي1,1405/04/08,09:38:53,موجوديت جديد,انبار,سند انبار,8252,1405/03/20,سند رسيد خريد  با شماره 8252 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,جلالي2,1405/04/08,09:38:40,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:38:35, ويرايش موجوديت,خزانه داري,سند حسابداري,8074,1404/10/09,سند عمومي با شماره 8074 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,اژدري,1405/04/08,09:38:33, ويرايش موجوديت,حسابداري,سند حسابداري,9256,1404/06/31,سند عمومي با شماره ثابت 9256 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,اژدري,1405/04/08,09:38:27, ويرايش موجوديت,حسابداري,سند حسابداري,9256,1404/06/31,سند عمومي با شماره ثابت 9256 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,اجنوردي1,1405/04/08,09:38:26,موجوديت جديد,انبار,سند انبار,6201,1405/04/08,سند درخواست كالا از انبار با شماره 6201 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/08,09:38:11,موجوديت جديد,انبار,سند انبار,6200,1405/04/08,سند درخواست كالا از انبار با شماره 6200 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:38:04, ويرايش موجوديت,خزانه داري,سند حسابداري,8075,1404/10/09,سند عمومي با شماره 8075 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/08,09:37:52,موجوديت جديد,حسابداري,سند حسابداري,2762,1405/02/19,سند عمومي با شماره ثابت 2762 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:37:46, ويرايش موجوديت,خزانه داري,سند حسابداري,8078,1404/10/09,سند عمومي با شماره 8078 تاييد شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:37:45, ويرايش موجوديت,حسابداري,سند حسابداري,4356,1404/11/30,سند عمومي با شماره 4356 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,صدوقي,1405/04/08,09:37:45,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:37:34,موجوديت جديد,خزانه داري,سند حسابداري,8344,1404/07/10,سند عمومي با شماره 8344 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:37:29,موجوديت جديد,انبار,سند انبار,2688,1405/04/08,سند حواله مصرف  با شماره 2688 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:37:21,موجوديت جديد,حسابداري,سند حسابداري,1068,1404/02/10,سند عمومي با شماره ثابت 1068 ذخيره شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:37:20, ويرايش موجوديت,حسابداري,سند حسابداري,4357,1404/11/30,سند عمومي با شماره ثابت 4357 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:37:17, ويرايش موجوديت,خزانه داري,سند حسابداري,8079,1404/10/09,سند عمومي با شماره 8079 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:37:11,موجوديت جديد,خزانه داري,سند خزانه داري,2700,1404/07/10,سند صورت هزينه تنخواه با شماره 2700 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:37:01, ويرايش موجوديت,خزانه داري,سند حسابداري,8081,1404/10/09,سند عمومي با شماره 8081 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:36:59, ويرايش موجوديت,انبار,سند انبار,6199,1405/04/08,سند درخواست كالا از انبار با شماره 6199 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:36:29, ويرايش موجوديت,خزانه داري,سند حسابداري,8083,1404/10/09,سند عمومي با شماره 8083 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:35:53, ويرايش موجوديت,خزانه داري,سند حسابداري,8086,1404/10/09,سند عمومي با شماره 8086 تاييد شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:35:50,موجوديت جديد,حسابداري,سند حسابداري,1067,1404/01/31,سند عمومي با شماره ثابت 1067 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/08,09:35:48,موجوديت جديد,انبار,سند انبار,8251,1405/03/13,سند رسيد خريد  با شماره 8251 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:35:29, ويرايش موجوديت,انبار,سند انبار,6198,1405/04/08,سند درخواست كالا از انبار با شماره 6198 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:35:26, ويرايش موجوديت,خزانه داري,سند حسابداري,8088,1404/10/09,سند عمومي با شماره 8088 تاييد شد
,صولت پارس آمود,1404,نباتي7,1405/04/08,09:35:16,ورود موفق,,نشست,,,
,شركت بنا بام بيستون (سهامي خاص),1404,سيدمرتضي_حسيني4,1405/04/08,09:35:03,موجوديت جديد,حسابداري,سند حسابداري,488,1405/01/31,سند عمومي با شماره ثابت 488 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/08,09:34:55, ويرايش موجوديت,انبار,سند انبار,6199,1405/04/08,سند درخواست كالا از انبار با شماره 6199 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:34:53, ويرايش موجوديت,خزانه داري,سند حسابداري,8091,1404/10/08,سند عمومي با شماره 8091 تاييد شد
,شركت بنا بام بيستون (سهامي خاص),1404,جلالي4,1405/04/08,09:34:39,موجوديت جديد,حسابداري,سند حسابداري,3212,1404/08/01,سند عمومي با شماره ثابت 3212 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:34:32, ويرايش موجوديت,خزانه داري,سند حسابداري,8093,1404/10/08,سند عمومي با شماره 8093 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/08,09:34:32, ويرايش موجوديت,انبار,سند انبار,6195,1405/04/08,سند درخواست كالا از انبار با شماره 6195 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/08,09:34:28, ويرايش موجوديت,انبار,سند انبار,6198,1405/04/08,سند درخواست كالا از انبار با شماره 6198 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/08,09:34:12,موجوديت جديد,حسابداري,سند حسابداري,1066,1404/01/25,سند عمومي با شماره ثابت 1066 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/08,09:34:06, ويرايش موجوديت,خزانه داري,سند حسابداري,8094,1404/10/08,سند عمومي با شماره 8094 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/08,09:33:55,ورود موفق,,نشست,,,
,تفتان ره ساز پارس,1405,صفري15,1405/04/08,09:33:52,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,نباتي1,1405/04/08,09:33:33, ويرايش موجوديت,حسابداري,سند حسابداري,27165,1404/11/30,سند عمومي با شماره 27165 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عسكريان15انبارحرمك,1405/04/08,09:33:25,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1405,پوريامومني3,1405/04/08,09:32:36,موجوديت جديد,خزانه داري,سند حسابداري,8343,1404/07/10,سند عمومي با شماره 8343 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/08,09:32:32,ورود موفق,,نشست,,,
